render backend: http://127.0.0.1:8080/render
admin data:     http://127.0.0.1:9090/admin/stats
[INFO] thread pool initialized with 16 workers
[23:30:39] 127.0.0.1:42104       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:39] 127.0.0.1:42102       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.0ms
[23:30:39] 127.0.0.1:42120       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:39] 127.0.0.1:42122       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.3ms
[23:30:39] 127.0.0.1:42136       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.6ms
[23:30:39] 127.0.0.1:42140       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:39] 127.0.0.1:42150       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.8ms
[23:30:39] 127.0.0.1:42152       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.7ms
[23:30:39] 127.0.0.1:42164       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.6ms
[23:30:39] 127.0.0.1:42168       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:39] 127.0.0.1:42180       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.0ms
[23:30:39] 127.0.0.1:42178       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.9ms
[23:30:39] 127.0.0.1:42198       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.1ms
[23:30:39] 127.0.0.1:42192       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:39] 127.0.0.1:42202       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 23.9ms
[23:30:39] 127.0.0.1:42204       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.0ms
[23:30:39] 127.0.0.1:42232       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.3ms
[23:30:39] 127.0.0.1:42224       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.1ms
[23:30:39] 127.0.0.1:42244       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:39] 127.0.0.1:42258       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.3ms
[23:30:39] 127.0.0.1:42286       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.0ms
[23:30:39] 127.0.0.1:42274       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:39] 127.0.0.1:42290       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:39] 127.0.0.1:42292       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.0ms
[23:30:39] 127.0.0.1:42304       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:39] 127.0.0.1:42302       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.1ms
[23:30:39] 127.0.0.1:42308       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.0ms
[23:30:39] 127.0.0.1:42314       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:39] 127.0.0.1:42330       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:39] 127.0.0.1:42346       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.3ms
[23:30:39] 127.0.0.1:42362       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:39] 127.0.0.1:42364       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.8ms
[23:30:39] 127.0.0.1:42388       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.0ms
[23:30:39] 127.0.0.1:42402       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.3ms
[23:30:39] 127.0.0.1:42414       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.2ms
[23:30:39] 127.0.0.1:42412       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:39] 127.0.0.1:42422       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:39] 127.0.0.1:42424       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:40] 127.0.0.1:42436       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.3ms
[23:30:40] 127.0.0.1:42434       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.3ms
[23:30:43] 127.0.0.1:44112       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.2ms
[23:30:43] 127.0.0.1:44128       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.2ms
[23:30:43] 127.0.0.1:44114       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.7ms
[23:30:43] 127.0.0.1:44142       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.6ms
[23:30:43] 127.0.0.1:44156       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:43] 127.0.0.1:44160       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:43] 127.0.0.1:44180       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:43] 127.0.0.1:44158       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:43] 127.0.0.1:44202       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.6ms
[23:30:43] 127.0.0.1:44184       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.2ms
[23:30:43] 127.0.0.1:44182       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.2ms
